Date,Amount,Category,Description
2026-03-01,150.0,Groceries,Supermarket shopping
2026-03-02,45.0,Transport,Gas station
2026-03-04,30.0,Food,Coffee shop
2026-03-05,1200.0,Housing,Rent payment
2026-03-07,80.0,Utilities,Electricity bill
2026-03-09,60.0,Entertainment,Movie tickets
2026-03-10,200.0,Groceries,Weekly groceries
2026-03-12,25.0,Food,Lunch with friend
2026-03-15,55.0,Transport,Train pass
2026-03-18,100.0,Shopping,Clothes
2026-03-20,40.0,Utilities,Internet bill
2026-03-22,65.0,Food,Dinner date
2026-03-25,180.0,Groceries,Supermarket
2026-03-28,95.0,Entertainment,Concert tickets
2026-03-30,45.0,Transport,Taxi ride
2026-04-01,140.0,Groceries,Supermarket
2026-04-03,35.0,Food,Coffee shop
2026-04-05,50.0,Housing,Maintenance
